f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
1,166.66666666666669,199.80000000000004,nan,1.1988,2.1988000000000003,0.0623376,0.11433760000000001,0.03,0.052
1,85.71428571428571,1723.835560720509,nan,13.66058368872856,14.66058368872856,0.683029184436428,0.7330291844364281,0.000866,0.05
1,85.71428571428571,61158.40740740786,nan,631.0767935664795,632.0767935664795,31.55383967832398,31.60383967832398,0.000087,0.05
1,85.71428571428571,61158.40740740786,nan,531.6750947681245,532.6750947681245,26.583754738406228,26.633754738406225,0.001202,0.05
1,85.71428571428571,61158.40740740786,nan,467.7755846388722,468.7755846388722,23.388779231943612,23.438779231943613,0.001491,0.05
1,85.71428571428571,61158.40740740786,nan,404.5863874643904,405.5863874643904,20.22931937321952,20.279319373219522,0.00117,0.05
1,85.71428571428571,61158.40740740786,nan,371.26750849673476,372.26750849673476,18.56337542483674,18.61337542483674,0.009805,0.05
1,85.71428571428571,61158.40740740786,nan,369.4811371647537,370.4811371647537,18.474056858237685,18.524056858237685,0.028288,0.05
1,85.71428571428571,61158.40740740786,nan,369.4811371647537,370.4811371647537,18.474056858237685,18.524056858237685,0.053396,0.05
1,85.71428571428571,61158.40740740786,nan,368.64146031746304,369.64146031746304,18.432073015873154,18.48207301587315,0.070093,0.05
1,85.71428571428571,175584.16115699842,nan,1063.259642561824,1064.259642561824,53.1629821280912,53.2129821280912,0.068744,0.05
166.66666666666669,85.71428571428571,nan,nan,nan,nan,nan,nan,0.063274,0.05
166.66666666666669,108.10810810810811,175584.16115699842,nan,1048.6049438399348,1049.6049438399348,52.43024719199674,52.48024719199674,0.065842,0.05
166.66666666666669,121.95121951219512,175584.16115699842,nan,1044.63632722311,1045.63632722311,52.231816361155495,52.2818163611555,0.086491,0.05
166.66666666666669,139.53488372093025,175584.16115699842,nan,1049.4992446342264,1050.4992446342264,52.474962231711324,52.52496223171133,0.126046,0.05
166.66666666666669,162.79069767441862,175584.16115699842,nan,1050.9906352786445,1051.9906352786445,52.54953176393223,52.59953176393223,0.166179,0.05
166.66666666666669,164.38356164383563,175584.16115699842,nan,1048.6238453168608,1049.6238453168608,52.43119226584304,52.48119226584304,0.181841,0.05
168.9497716894977,164.38356164383563,nan,nan,nan,nan,nan,nan,0.179475,0.05
168.9497716894977,164.38356164383563,175584.16115699842,nan,1028.262731148847,1029.262731148847,51.41313655744236,51.463136557442354,0.185314,0.05
168.9497716894977,165.13761467889907,175584.16115699842,nan,1012.0562740947277,1013.0562740947277,50.602813704736384,50.65281370473639,0.216733,0.05
168.9497716894977,165.13761467889907,175584.16115699842,nan,995.4807238890584,996.4807238890584,49.77403619445292,49.82403619445292,0.270708,0.05
168.9497716894977,165.13761467889907,175584.16115699842,nan,974.3395523675664,975.3395523675664,48.71697761837832,48.76697761837832,0.313047,0.05
168.9497716894977,166.66666666666666,504.03551209635305,nan,2.741191455198952,3.741191455198952,0.1370595727599476,0.1870595727599476,0.333139,0.05
168.9497716894977,166.66666666666666,709.0005058069747,nan,3.777105850530798,4.777105850530798,0.1888552925265399,0.23885529252653992,0.34922,0.05
186.2464183381089,166.66666666666666,nan,nan,nan,nan,nan,nan,0.309717,0.05
186.2464183381089,166.66666666666666,nan,nan,nan,nan,nan,nan,0.263267,0.05
186.2464183381089,166.66666666666666,709.0005058069747,nan,4.1566467839596335,5.1566467839596335,0.2078323391979817,0.2578323391979817,0.298212,0.05
186.2464183381089,167.420814479638,709.0005058069747,nan,4.152071166244477,5.152071166244477,0.20760355831222388,0.25760355831222387,0.413643,0.05
186.2464183381089,153.38645418326692,709.0005058069747,nan,4.365564705459453,5.365564705459453,0.21827823527297263,0.2682782352729726,0.465882,0.05
186.2464183381089,153.38645418326692,nan,nan,nan,nan,nan,nan,0.383877,0.05
186.2464183381089,153.38645418326692,nan,nan,nan,nan,nan,nan,0.296179,0.05
186.2464183381089,129.8342541436464,709.0005058069747,nan,5.450971838312602,6.450971838312602,0.2725485919156301,0.3225485919156301,0.323309,0.05
186.2464183381089,129.8342541436464,709.0005058069747,nan,5.420136796295998,6.420136796295998,0.27100683981479995,0.32100683981479994,0.47291,0.05
186.2464183381089,125.00000000000001,709.0005058069747,nan,5.522177524473947,6.522177524473947,0.27610887622369734,0.3261088762236974,0.53773,0.05
186.2464183381089,125.00000000000001,nan,nan,nan,nan,nan,nan,0.400388,0.05
186.2464183381089,125.00000000000001,nan,nan,nan,nan,nan,nan,0.263812,0.05
186.2464183381089,118.81188118811882,709.0005058069747,nan,5.971638182478816,6.971638182478816,0.2985819091239408,0.3485819091239408,0.265352,0.05
186.2464183381089,118.81188118811882,709.0005058069747,nan,5.920634302234152,6.920634302234152,0.2960317151117076,0.3460317151117076,0.422498,0.05
186.2464183381089,118.81188118811882,709.0005058069747,nan,5.631743474936069,6.631743474936069,0.2815871737468035,0.33158717374680347,0.614903,0.05
186.2464183381089,118.81188118811882,nan,nan,nan,nan,nan,nan,0.517764,0.05
186.2464183381089,118.81188118811882,nan,nan,nan,nan,nan,nan,0.312553,0.05
186.2464183381089,118.81188118811882,nan,nan,nan,nan,nan,nan,0.272164,0.05
186.2464183381089,118.81188118811882,186.2464183381089,nan,1.4923553008595989,2.492355300859599,0.07461776504297994,0.12461776504297994,0.420772,0.05
186.2464183381089,118.81188118811882,186.2464183381089,nan,1.4148034764149917,2.414803476414992,0.07074017382074958,0.1207401738207496,0.643748,0.05
186.2464183381089,118.81188118811882,nan,nan,nan,nan,nan,nan,0.557779,0.05
