f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
1,166.66666666666669,166.6666666666667,199.80000000000004,1.0000000000000002,199.80000000000004,0.05300000000000001,10.589400000000001,0.03,0.053
1,85.71428571428571,85.7142857142856,2694.617987735631,1,2694.617987735631,0.05,134.73089938678154,0.000221,0.05
1,121.95121951219512,121.95121951219521,6358.692307692308,1.0000000000000007,6358.692307692308,0.05000000000000004,317.9346153846154,0.000492,0.05
1,155.55555555555557,155.5555555555558,5033.106357963288,1.0000000000000016,5033.106357963288,0.05000000000000008,251.6553178981644,0.001265,0.05
1,163.63636363636363,163.6363636363635,854.5549681765697,1,854.5549681765697,0.05,42.72774840882849,0.012496,0.05
1,166.66666666666666,166.66666666666666,474.71814639342875,1,474.71814639342875,0.05,23.73590731967144,0.04955,0.05
1,165.60509554140128,165.60509554140125,449.895262211174,1,449.895262211174,0.05,22.4947631105587,0.112294,0.05
222.22222222222223,165.60509554140128,nan,nan,nan,nan,nan,nan,0.103065,0.05
160.49382716049382,165.60509554140128,nan,nan,nan,nan,nan,nan,0.047507,0.05
161.76470588235293,165.60509554140128,nan,nan,nan,nan,nan,nan,0.026534,0.05
161.76470588235293,163.04347826086956,163.04347826086953,166.99034318556485,1,1.0323039396925828,0.05,0.051615196984629144,0.046896,0.05
161.76470588235293,165.8291457286432,165.82914572864317,169.87814055002661,1,1.0501557779456192,0.05,0.052507788897280964,0.15226,0.05
161.76470588235293,217.687074829932,217.68707482993202,327.68888221894156,1.0000000000000002,2.0257130900807296,0.05000000000000002,0.10128565450403648,0.25853,0.05
215.2777777777778,217.687074829932,nan,nan,nan,nan,nan,nan,0.119943,0.05
200,217.687074829932,nan,nan,nan,nan,nan,nan,0.016608,0.05
159.0909090909091,217.687074829932,nan,nan,nan,nan,nan,nan,0.00094,0.05
159.0909090909091,224.13793103448273,224.13793103448273,478.91810332014717,1,3.010342363726639,0.05,0.15051711818633196,0.01255,0.05
159.0909090909091,233.08270676691728,233.0827067669173,298.8931808939693,1.0000000000000002,1.8787571370478071,0.05000000000000002,0.09393785685239037,0.085263,0.05
159.0909090909091,235.29411764705884,235.29411764705878,279.9902142680045,1,1.7599384896845995,0.05,0.08799692448422998,0.315779,0.05
223.48484848484847,235.29411764705884,nan,nan,nan,nan,nan,nan,0.266636,0.05
205.8823529411765,235.29411764705884,nan,nan,nan,nan,nan,nan,0.067868,0.05
240.74074074074073,235.29411764705884,nan,nan,nan,nan,nan,nan,0.010287,0.05
240.74074074074073,250,250.00000000000006,304.0582819343882,1.0000000000000002,1.263011324958228,0.05000000000000002,0.0631505662479114,0.017182,0.05
240.74074074074073,273.972602739726,273.972602739726,301.7879290465955,1,1.2535806283473967,0.05,0.06267903141736984,0.09765,0.05
240.74074074074073,261.26126126126127,261.2612612612613,271.1558030556683,1.0000000000000002,1.126339489615853,0.05000000000000002,0.05631697448079265,0.402291,0.05
234.1597796143251,261.26126126126127,nan,nan,nan,nan,nan,nan,0.3714,0.05
218.978102189781,261.26126126126127,nan,nan,nan,nan,nan,nan,0.098815,0.05
243.5897435897436,261.26126126126127,nan,nan,nan,nan,nan,nan,0.035777,0.05
243.5897435897436,266.0550458715596,266.0550458715596,329.78195836594114,1,1.3538417238180742,0.05,0.06769208619090371,0.062273,0.05
243.5897435897436,278.74564459930315,278.74564459930315,301.56147453412547,1,1.2379892112453572,0.05,0.06189946056226786,0.240177,0.05
231.10151187904967,231.10151187904967,231.10151187904967,231.10151187904967,1,1.5,0.05,0.07500000000000001,0.422623,0.05
245.98930481283423,231.10151187904967,nan,nan,nan,nan,nan,nan,0.156216,0.05
242.4242424242424,231.10151187904967,nan,nan,nan,nan,nan,nan,0.02881,0.05
260,231.10151187904967,nan,nan,nan,nan,nan,nan,0.004464,0.05
260,287.5,287.5,340.75246616196375,1,1.3105864083152452,0.05,0.06552932041576226,0.03165,0.05
260,301.31004366812226,301.31004366812226,324.95595070371064,1,1.2498305796296563,0.05,0.062491528981482816,0.180063,0.05
256.5359477124183,256.5359477124183,256.5359477124183,256.5359477124183,1,1.5,0.05,0.07500000000000001,0.568275,0.05
292.77566539923953,256.5359477124183,nan,nan,nan,nan,nan,nan,0.230416,0.05
257.73195876288656,256.5359477124183,nan,nan,nan,nan,nan,nan,0.056043,0.05
276.3157894736842,256.5359477124183,nan,nan,nan,nan,nan,nan,0.028882,0.05
276.3157894736842,311.5942028985507,311.59420289855075,357.6044922334136,1.0000000000000002,1.2941876861780683,0.05000000000000002,0.06470938430890343,0.089975,0.05
276.3157894736842,298.0769230769231,298.07692307692315,309.17067639422345,1.0000000000000002,1.1189034002838563,0.05000000000000002,0.055945170014192816,0.368826,0.05
235.64356435643563,235.64356435643563,235.64356435643566,235.64356435643566,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.463019,0.05
247.12643678160921,235.64356435643563,nan,nan,nan,nan,nan,nan,0.14949,0.05
197.53086419753086,235.64356435643563,nan,nan,nan,nan,nan,nan,0.038722,0.05
197.53086419753086,216.86746987951807,216.867469879517,1149.2138790060262,1,5.817895262468008,0.05,0.2908947631234004,0.036514,0.05
197.53086419753086,218.75,218.74999999999997,236.57950910057977,1,1.1976837648216851,0.05,0.05988418824108426,0.143488,0.05
197.53086419753086,205.47945205479454,205.47945205479454,209.34367871670338,1,1.0598023735033109,0.05,0.052990118675165544,0.54407,0.05
222.81167108753314,205.47945205479454,nan,nan,nan,nan,nan,nan,0.418987,0.05
193.33333333333334,205.47945205479454,nan,nan,nan,nan,nan,nan,0.109845,0.05
197.91666666666666,205.47945205479454,nan,nan,nan,nan,nan,nan,0.053264,0.05
197.91666666666666,208.5889570552147,208.58895705521476,225.7159165311376,1.0000000000000002,1.1404593677362742,0.05000000000000002,0.05702296838681371,0.115303,0.05
197.91666666666666,208.24742268041237,208.24742268041237,213.71241265379382,1,1.0798100849875898,0.05,0.05399050424937949,0.438436,0.05
197.91666666666666,198.56887298747762,198.5688729874778,202.5101323885567,1.0000000000000009,1.023209089963234,0.050000000000000044,0.0511604544981617,0.527862,0.05
198.8950276243094,198.56887298747762,nan,nan,nan,nan,nan,nan,0.1581,0.05
158.53658536585365,198.56887298747762,nan,nan,nan,nan,nan,nan,0.044907,0.05
152.17391304347825,152.17391304347825,152.17391304347822,152.17391304347822,1,0.9999999999999998,0.05,0.04999999999999999,0.048239,0.05
146.34146341463415,146.34146341463415,146.34146341463415,146.34146341463415,1,1.5,0.05,0.07500000000000001,0.198587,0.05
158.53658536585365,219.04761904761904,219.04761904761904,271.06982168926595,1,1.7098250291169084,0.05,0.08549125145584542,0.487781,0.05
219.85815602836882,219.04761904761904,nan,nan,nan,nan,nan,nan,0.248615,0.05
214.9532710280374,219.04761904761904,nan,nan,nan,nan,nan,nan,0.068722,0.05
225,219.04761904761904,nan,nan,nan,nan,nan,nan,0.036081,0.05
225,234.0425531914894,234.0425531914894,247.42284678600694,1,1.0996570968266974,0.05,0.054982854841334874,0.093963,0.05
225,231.70731707317074,231.70731707317077,235.42288486502366,1.0000000000000002,1.0463239327334386,0.05000000000000002,0.05231619663667193,0.363145,0.05
210.5263157894737,210.5263157894737,210.52631578947367,210.52631578947367,1,0.9999999999999999,0.05,0.049999999999999996,0.43752,0.05
217.10526315789474,210.5263157894737,nan,nan,nan,nan,nan,nan,0.127185,0.05
210.52631578947367,210.5263157894737,nan,nan,nan,nan,nan,nan,0.015121,0.05
217.3913043478261,210.5263157894737,nan,nan,nan,nan,nan,nan,0.000561,0.05
