time,event,cwnd
13000,"""SlowStart""",3.00
26000,"""SlowStart""",4.00
29000,"""SlowStart""",5.00
31000,"""SlowStart""",6.00
40000,"""SlowStart""",7.00
43000,"""SlowStart""",8.00
46000,"""SlowStart""",9.00
53000,"""SlowStart""",10.00
58000,"""SlowStart""",11.00
64000,"""SlowStart""",12.00
94000,"""SlowStartEnd""",6.00
3792000,"""ProbeGain""",26.00
4361000,"""ProbeDrain""",6.00
4709000,"""ProbeUpdate""",8.00
30583000,"""ProbeGain""",32.00
31141000,"""ProbeDrain""",8.00
31323000,"""ProbeUpdate""",11.00
55612000,"""ProbeGain""",47.00
56173000,"""ProbeDrain""",11.00
56372000,"""ProbeUpdate""",12.00
81081000,"""ProbeGain""",51.00
81643000,"""ProbeDrain""",12.00
81850000,"""ProbeUpdate""",13.00
106405000,"""ProbeGain""",56.00
106970000,"""ProbeDrain""",13.00
107185000,"""ProbeUpdate""",12.00
132286000,"""ProbeGain""",48.00
132850000,"""ProbeDrain""",12.00
133165000,"""ProbeUpdate""",13.00
158171000,"""ProbeGain""",55.00
158737000,"""ProbeDrain""",13.00
158950000,"""ProbeUpdate""",13.00
183559000,"""ProbeGain""",56.00
184123000,"""ProbeDrain""",13.00
184338000,"""ProbeUpdate""",12.00
209122000,"""ProbeGain""",51.00
209684000,"""ProbeDrain""",12.00
209891000,"""ProbeUpdate""",12.00
234721000,"""ProbeGain""",48.00
235285000,"""ProbeDrain""",12.00
235586000,"""ProbeUpdate""",12.00
260708000,"""ProbeGain""",47.00
261273000,"""ProbeDrain""",12.00
261478000,"""ProbeUpdate""",13.00
286099000,"""ProbeGain""",56.00
286664000,"""ProbeDrain""",13.00
286876000,"""ProbeUpdate""",12.00
311461000,"""ProbeGain""",51.00
312021000,"""ProbeDrain""",12.00
312227000,"""ProbeUpdate""",13.00
336632000,"""ProbeGain""",56.00
337195000,"""ProbeDrain""",13.00
337437000,"""ProbeUpdate""",12.00
362256000,"""ProbeGain""",49.00
362819000,"""ProbeDrain""",12.00
363102000,"""ProbeUpdate""",13.00
387714000,"""ProbeGain""",54.00
388276000,"""ProbeDrain""",13.00
388484000,"""ProbeUpdate""",13.00
413225000,"""ProbeGain""",56.00
413789000,"""ProbeDrain""",13.00
414001000,"""ProbeUpdate""",12.00
438356000,"""ProbeGain""",51.00
438921000,"""ProbeDrain""",12.00
439127000,"""ProbeUpdate""",13.00
463934000,"""ProbeGain""",53.00
464498000,"""ProbeDrain""",13.00
464705000,"""ProbeUpdate""",13.00
489876000,"""ProbeGain""",51.00
490441000,"""ProbeDrain""",13.00
490647000,"""ProbeUpdate""",12.00
515168000,"""ProbeGain""",52.00
515735000,"""ProbeDrain""",12.00
515946000,"""ProbeUpdate""",12.00
540651000,"""ProbeGain""",52.00
541218000,"""ProbeDrain""",12.00
541429000,"""ProbeUpdate""",12.00
566259000,"""ProbeGain""",52.00
566862000,"""ProbeDrain""",12.00
567093000,"""ProbeUpdate""",10.00
591694000,"""ProbeGain""",42.00
592254000,"""ProbeDrain""",10.00
592452000,"""ProbeUpdate""",11.00
617376000,"""ProbeGain""",45.00
617938000,"""ProbeDrain""",11.00
618143000,"""ProbeUpdate""",12.00
642733000,"""ProbeGain""",52.00
643299000,"""ProbeDrain""",12.00
643511000,"""ProbeUpdate""",12.00
668392000,"""ProbeGain""",52.00
668958000,"""ProbeDrain""",12.00
669171000,"""ProbeUpdate""",12.00
694182000,"""ProbeGain""",49.00
694748000,"""ProbeDrain""",12.00
694958000,"""ProbeUpdate""",13.00
720516000,"""ProbeGain""",48.00
721085000,"""ProbeDrain""",13.00
721293000,"""ProbeUpdate""",15.00
746608000,"""ProbeGain""",65.00
747178000,"""ProbeDrain""",15.00
747409000,"""ProbeUpdate""",13.00
772593000,"""ProbeGain""",56.00
773161000,"""ProbeDrain""",13.00
773380000,"""ProbeUpdate""",12.00
798643000,"""ProbeGain""",49.00
799210000,"""ProbeDrain""",12.00
799419000,"""ProbeUpdate""",13.00
824747000,"""ProbeGain""",53.00
825309000,"""ProbeDrain""",13.00
825522000,"""ProbeUpdate""",13.00
850480000,"""ProbeGain""",56.00
851043000,"""ProbeDrain""",13.00
851261000,"""ProbeUpdate""",12.00
875766000,"""ProbeGain""",52.00
876329000,"""ProbeDrain""",12.00
876542000,"""ProbeUpdate""",12.00
901886000,"""ProbeGain""",50.00
902450000,"""ProbeDrain""",12.00
902656000,"""ProbeUpdate""",13.00
928126000,"""ProbeGain""",55.00
928770000,"""ProbeDrain""",13.00
928985000,"""ProbeUpdate""",17.00
954526000,"""ProbeGain""",74.00
955098000,"""ProbeDrain""",17.00
955337000,"""ProbeUpdate""",14.00
980142000,"""ProbeGain""",60.00
980709000,"""ProbeDrain""",14.00
980929000,"""ProbeUpdate""",12.00
