now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
6481000,24.50,17000,78000,60,61000,1.50,1000.00,983.61,925.93,1.00,19.60,19.60
27098000,20.00,12000,52000,40,40000,1.00,1000.00,1000.00,909.09,1.00,20.00,20.00
47846000,20.00,13000,54000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
68698000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
89609000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
110501000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,714.29,1.00,20.00,20.00
131299000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
152196000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
173113000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
193993000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
214896000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
235772000,20.00,14000,50000,40,36000,1.00,1000.00,1111.11,740.74,1.11,21.11,21.11
256754000,22.00,16000,62000,46,46000,1.20,956.52,1000.00,880.00,1.05,20.45,20.45
277752000,21.00,15000,60000,44,45000,1.10,1000.00,977.78,875.00,1.00,20.00,20.00
298634000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
319540000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
340456000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
361253000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
382165000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
403044000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,714.29,1.00,20.00,20.00
423965000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
444879000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
465795000,20.00,10000,55000,40,45000,1.00,1000.00,888.89,869.57,1.00,20.00,20.00
486600000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,833.33,1.00,20.00,20.00
507500000,20.00,14000,53000,39,39000,1.00,952.38,1000.00,833.33,1.05,20.50,20.50
528471000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
549468000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
570427000,21.00,14000,59000,44,45000,1.10,1000.00,977.78,777.78,1.00,20.00,20.00
591130000,20.00,13000,52000,39,39000,1.00,952.38,1000.00,869.57,1.05,20.50,20.50
612109000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
633085000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,724.14,1.00,20.00,20.00
654089000,21.00,15000,58000,43,43000,1.10,954.55,1000.00,724.14,1.05,20.48,20.48
675092000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
696090000,21.00,11000,60000,44,49000,1.10,1000.00,897.96,840.00,1.00,20.00,20.00
716885000,20.00,14000,53000,39,39000,1.00,952.38,1000.00,869.57,1.05,20.50,20.50
737930000,21.00,16000,60000,44,44000,1.10,1000.00,1000.00,700.00,1.00,20.00,20.00
758998000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,840.00,1.00,20.00,20.00
780004000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
801001000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,724.14,1.00,20.00,20.00
821893000,21.00,15000,61000,46,46000,1.20,954.55,1000.00,875.00,1.05,19.55,19.55
842773000,20.00,14000,55000,41,41000,1.10,909.09,1000.00,869.57,1.10,20.00,20.00
863653000,20.00,14000,55000,41,41000,1.10,909.09,1000.00,869.57,1.10,20.00,20.00
884540000,20.00,14000,58000,44,44000,1.20,909.09,1000.00,714.29,1.10,19.09,19.09
905460000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,833.33,1.00,20.00,20.00
926261000,20.00,14000,58000,44,44000,1.20,909.09,1000.00,689.66,1.10,19.09,19.09
947258000,20.00,15000,59000,44,44000,1.30,833.33,1000.00,833.33,1.20,19.13,19.13
968251000,20.00,14000,61000,47,47000,1.40,833.33,1000.00,869.57,1.20,18.33,18.33
989023000,19.00,12000,55000,42,43000,1.20,863.64,976.74,863.64,1.13,18.40,18.40
