now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
9551000,29.50,23000,104000,80,81000,2.00,1000.00,987.65,909.09,1.00,19.67,22.69
30545000,23.00,16000,68000,52,52000,1.30,1000.00,1000.00,920.00,1.00,20.00,20.00
51290000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
72139000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
93001000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
113882000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
134741000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
155546000,20.00,13000,54000,40,41000,1.00,1000.00,975.61,833.33,1.00,20.00,20.00
176430000,20.00,12000,54000,40,42000,1.00,1000.00,952.38,833.33,1.00,20.00,20.00
197308000,20.00,11000,54000,40,43000,1.00,1000.00,930.23,869.57,1.00,20.00,20.00
218148000,20.00,11000,54000,40,43000,1.00,1000.00,930.23,869.57,1.00,20.00,20.00
239007000,20.00,11000,54000,40,43000,1.00,1000.00,930.23,869.57,1.00,20.00,20.00
259802000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,869.57,1.00,20.00,20.00
280672000,20.00,10000,55000,40,45000,1.00,1000.00,888.89,869.57,1.00,20.00,20.00
301555000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,833.33,1.00,20.00,20.00
322430000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,869.57,1.00,20.00,20.00
343308000,20.00,10000,53000,40,43000,1.00,1000.00,930.23,833.33,1.00,20.00,20.00
364175000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,869.57,1.00,20.00,20.00
384981000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,833.33,1.00,20.00,20.00
405834000,20.00,10000,55000,40,45000,1.00,1000.00,888.89,833.33,1.00,20.00,20.00
426719000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,869.57,1.00,20.00,20.00
447599000,20.00,10000,55000,40,45000,1.00,1000.00,888.89,869.57,1.00,20.00,20.00
468482000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,833.33,1.00,20.00,20.00
489293000,20.00,10000,54000,40,44000,1.00,1000.00,909.09,833.33,1.00,20.00,20.00
510150000,20.00,10000,53000,40,43000,1.00,1000.00,930.23,869.57,1.00,20.00,20.00
531008000,20.00,10000,52000,40,42000,1.00,1000.00,952.38,869.57,1.00,20.00,20.00
551833000,20.00,10000,52000,40,42000,1.00,1000.00,952.38,869.57,1.00,20.00,20.00
572573000,20.00,10000,51000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
593341000,20.00,10000,50000,40,40000,1.00,1000.00,1000.00,689.66,1.00,20.00,20.00
614048000,20.00,13000,50000,40,37000,1.00,1000.00,1081.08,869.57,1.08,20.81,20.81
634993000,21.00,15000,56000,44,41000,1.10,1000.00,1073.17,700.00,1.07,20.73,20.73
655945000,21.00,15000,56000,44,41000,1.10,1000.00,1073.17,677.42,1.07,20.73,20.73
676907000,21.00,15000,57000,44,42000,1.10,1000.00,1047.62,777.78,1.05,20.48,20.48
697871000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
718763000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,677.42,1.02,20.23,20.23
739806000,21.00,16000,59000,44,43000,1.10,1000.00,1023.26,750.00,1.02,20.23,20.23
760815000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
781762000,21.00,15000,55000,44,40000,1.10,1000.00,1100.00,777.78,1.10,21.00,21.00
802724000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,913.04,1.02,20.23,20.23
823616000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,913.04,1.02,20.23,20.23
844587000,21.00,15000,56000,43,41000,1.10,954.55,1048.78,777.78,1.10,20.99,20.99
865560000,21.00,15000,55000,44,40000,1.10,1000.00,1100.00,777.78,1.10,21.00,21.00
886528000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,913.04,1.02,20.23,20.23
907464000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
928396000,21.00,15000,57000,43,42000,1.10,954.55,1023.81,396.23,1.07,20.73,20.73
949462000,21.00,17000,60000,43,43000,1.10,954.55,1000.00,724.14,1.05,20.48,20.48
970541000,21.00,16000,58000,44,42000,1.10,1000.00,1047.62,750.00,1.05,20.48,20.48
991562000,21.00,15000,57000,44,42000,1.10,1000.00,1047.62,777.78,1.05,20.48,20.48
