time,event,cwnd
10000,"""SlowStart""",3.00
23000,"""SlowStart""",4.00
25000,"""SlowStart""",5.00
26000,"""SlowStart""",6.00
33000,"""SlowStart""",7.00
35000,"""SlowStart""",8.00
36000,"""SlowStart""",9.00
37000,"""SlowStart""",10.00
39000,"""SlowStart""",11.00
40000,"""SlowStart""",12.00
44000,"""SlowStart""",13.00
45000,"""SlowStart""",14.00
47000,"""SlowStart""",15.00
49000,"""SlowStart""",16.00
51000,"""SlowStart""",17.00
52000,"""SlowStart""",18.00
53000,"""SlowStart""",19.00
54000,"""SlowStart""",20.00
55000,"""SlowStart""",21.00
56000,"""SlowStart""",22.00
57000,"""SlowStart""",23.00
58000,"""SlowStart""",24.00
59000,"""SlowStart""",25.00
60000,"""SlowStart""",26.00
61000,"""SlowStart""",27.00
63000,"""SlowStart""",28.00
65000,"""SlowStart""",29.00
66000,"""SlowStart""",30.00
67000,"""SlowStart""",31.00
68000,"""SlowStart""",32.00
70000,"""SlowStart""",33.00
71000,"""SlowStart""",34.00
72000,"""SlowStart""",35.00
74000,"""SlowStart""",36.00
75000,"""SlowStart""",37.00
77000,"""SlowStart""",38.00
78000,"""SlowStart""",39.00
80000,"""SlowStart""",40.00
81000,"""SlowStart""",41.00
82000,"""SlowStart""",42.00
83000,"""SlowStart""",43.00
84000,"""SlowStart""",44.00
85000,"""SlowStart""",45.00
86000,"""SlowStart""",46.00
87000,"""SlowStart""",47.00
88000,"""SlowStart""",48.00
89000,"""SlowStart""",49.00
90000,"""SlowStartEnd""",24.50
5835000,"""ProbeGain""",84.50
6361000,"""ProbeDrain""",24.50
6481000,"""ProbeUpdate""",20.00
26487000,"""ProbeGain""",60.00
27008000,"""ProbeDrain""",20.00
27098000,"""ProbeUpdate""",20.00
47228000,"""ProbeGain""",60.00
47751000,"""ProbeDrain""",20.00
47846000,"""ProbeUpdate""",20.00
68079000,"""ProbeGain""",60.00
68602000,"""ProbeDrain""",20.00
68698000,"""ProbeUpdate""",20.00
88988000,"""ProbeGain""",60.00
89512000,"""ProbeDrain""",20.00
89609000,"""ProbeUpdate""",20.00
109882000,"""ProbeGain""",60.00
110405000,"""ProbeDrain""",20.00
110501000,"""ProbeUpdate""",20.00
130680000,"""ProbeGain""",60.00
131203000,"""ProbeDrain""",20.00
131299000,"""ProbeUpdate""",20.00
151576000,"""ProbeGain""",60.00
152099000,"""ProbeDrain""",20.00
152196000,"""ProbeUpdate""",20.00
172493000,"""ProbeGain""",60.00
173016000,"""ProbeDrain""",20.00
173113000,"""ProbeUpdate""",20.00
193374000,"""ProbeGain""",60.00
193897000,"""ProbeDrain""",20.00
193993000,"""ProbeUpdate""",20.00
214277000,"""ProbeGain""",60.00
214800000,"""ProbeDrain""",20.00
214896000,"""ProbeUpdate""",20.00
235143000,"""ProbeGain""",60.00
235676000,"""ProbeDrain""",20.00
235772000,"""ProbeUpdate""",22.00
256123000,"""ProbeGain""",68.00
256648000,"""ProbeDrain""",22.00
256754000,"""ProbeUpdate""",21.00
277125000,"""ProbeGain""",65.00
277649000,"""ProbeDrain""",21.00
277752000,"""ProbeUpdate""",20.00
298015000,"""ProbeGain""",60.00
298538000,"""ProbeDrain""",20.00
298634000,"""ProbeUpdate""",20.00
318921000,"""ProbeGain""",60.00
319443000,"""ProbeDrain""",20.00
319540000,"""ProbeUpdate""",20.00
339837000,"""ProbeGain""",60.00
340360000,"""ProbeDrain""",20.00
340456000,"""ProbeUpdate""",20.00
360633000,"""ProbeGain""",60.00
361156000,"""ProbeDrain""",20.00
361253000,"""ProbeUpdate""",20.00
381544000,"""ProbeGain""",60.00
382067000,"""ProbeDrain""",20.00
382165000,"""ProbeUpdate""",20.00
402423000,"""ProbeGain""",60.00
402946000,"""ProbeDrain""",20.00
403044000,"""ProbeUpdate""",20.00
423345000,"""ProbeGain""",60.00
423869000,"""ProbeDrain""",20.00
423965000,"""ProbeUpdate""",20.00
444258000,"""ProbeGain""",60.00
444782000,"""ProbeDrain""",20.00
444879000,"""ProbeUpdate""",20.00
465175000,"""ProbeGain""",60.00
465698000,"""ProbeDrain""",20.00
465795000,"""ProbeUpdate""",20.00
485979000,"""ProbeGain""",60.00
486502000,"""ProbeDrain""",20.00
486600000,"""ProbeUpdate""",20.00
506882000,"""ProbeGain""",59.00
