now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
4709000,6.00,73000,85000,20,12000,6.70,71.43,1666.67,45.45,10.00,8.47,7.80
31323000,8.00,46000,75000,24,29000,4.60,129.03,827.59,140.35,6.41,10.46,10.40
56372000,11.00,52000,91000,36,39000,5.20,169.23,923.08,174.60,5.45,11.43,11.43
81850000,12.00,56000,95000,39,39000,5.60,173.91,1000.00,184.62,5.75,12.26,12.26
107185000,13.00,57000,103000,43,46000,5.70,185.71,934.78,194.03,5.03,11.76,11.76
133165000,12.00,55000,93000,36,38000,4.90,181.82,947.37,115.38,5.21,12.60,12.60
158950000,13.00,57000,102000,42,45000,4.90,209.68,933.33,164.56,4.45,12.06,12.06
184338000,13.00,57000,103000,43,46000,5.70,185.71,934.78,224.14,5.03,11.76,11.76
209891000,12.00,56000,97000,39,41000,5.60,173.91,951.22,184.62,5.47,11.77,11.77
235586000,12.00,53000,94000,36,41000,5.10,173.91,878.05,105.26,5.05,11.90,11.90
261478000,12.00,53000,93000,35,40000,5.00,173.91,875.00,181.82,5.03,12.06,12.06
286876000,13.00,56000,102000,43,46000,5.60,188.41,934.78,180.56,4.96,11.80,11.80
312227000,12.00,56000,96000,39,40000,5.60,173.91,975.00,187.50,5.61,12.01,12.01
337437000,13.00,57000,103000,43,46000,5.70,185.71,934.78,209.68,5.03,11.76,11.76
363102000,12.00,55000,94000,37,39000,4.90,184.62,948.72,121.21,5.14,12.46,12.46
388484000,13.00,56000,99000,41,43000,4.80,209.68,953.49,228.07,4.55,12.46,12.46
414001000,13.00,56000,102000,43,46000,5.60,188.41,934.78,200.00,4.96,11.80,11.80
439127000,12.00,56000,96000,39,40000,5.60,173.91,975.00,184.62,5.61,12.01,12.01
464705000,13.00,56000,99000,40,43000,5.20,188.41,930.23,200.00,4.94,12.47,12.47
490647000,13.00,48000,96000,38,48000,4.80,194.03,791.67,196.97,4.08,11.47,11.47
515946000,12.00,57000,99000,40,42000,5.70,171.43,952.38,181.82,5.56,11.75,11.75
541429000,12.00,57000,99000,40,42000,5.70,171.43,952.38,181.82,5.56,11.75,11.75
567093000,12.00,59000,124000,40,65000,5.90,166.67,615.38,184.62,3.69,8.32,9.23
592452000,10.00,50000,87000,32,37000,5.00,156.25,864.86,161.29,5.54,10.85,10.85
618143000,11.00,55000,92000,34,37000,4.60,183.33,918.92,169.23,5.01,11.77,11.77
643511000,12.00,58000,99000,40,41000,5.80,169.01,975.61,181.82,5.77,11.95,11.95
669171000,12.00,58000,99000,40,41000,5.80,169.01,975.61,179.10,5.77,11.95,11.95
694958000,12.00,58000,96000,37,38000,5.30,171.43,973.68,179.10,5.68,12.69,12.69
721293000,13.00,59000,95000,35,36000,4.60,188.41,972.22,188.41,5.16,14.23,14.23
747409000,15.00,62000,115000,50,53000,6.20,200.00,943.40,208.33,4.72,12.03,12.03
773380000,13.00,59000,105000,43,46000,5.90,180.56,934.78,188.41,5.18,11.70,11.70
799419000,12.00,58000,96000,37,38000,5.40,169.01,973.68,179.10,5.76,12.65,12.65
825522000,13.00,58000,100000,40,42000,4.90,200.00,952.38,158.54,4.76,12.71,12.71
851261000,13.00,58000,104000,43,46000,5.80,183.10,934.78,160.49,5.11,11.73,11.73
876542000,12.00,58000,100000,40,42000,5.80,169.01,952.38,179.10,5.63,11.72,11.72
902656000,12.00,56000,96000,38,40000,5.20,179.10,950.00,184.62,5.30,12.19,12.19
928985000,13.00,57000,88000,42,31000,5.10,203.12,1354.84,191.18,6.67,16.19,16.19
955337000,17.00,63000,124000,57,61000,6.30,223.68,934.43,220.78,4.18,12.25,13.08
980929000,14.00,59000,108000,46,49000,5.90,194.44,938.78,170.73,4.83,11.92,11.92
