start_time,end_time,duration,min_qdel,max_qdel,communicated_flow_count,round_max_cruise_rate,latest_cruise_rate,cruise_happened,probe_happened,round_ended,cwnd
160000,894000,734000,20000,28000,2.00,1000.00,937.50,true,false,false,29.50
894000,1613000,719000,22000,23000,2.00,1000.00,937.50,true,false,false,29.50
1613000,2332000,719000,22000,23000,2.00,1000.00,937.50,true,false,false,29.50
2332000,3051000,719000,22000,23000,2.00,1000.00,909.09,true,false,false,29.50
3051000,3770000,719000,22000,23000,2.00,1000.00,937.50,true,false,false,29.50
3770000,4522000,752000,20000,34000,2.00,1000.00,937.50,true,false,false,29.50
4522000,5247000,725000,20000,25000,2.00,1000.00,909.09,true,false,false,29.50
5247000,5969000,722000,20000,24000,2.00,1000.00,967.74,true,false,false,29.50
5969000,6695000,726000,20000,25000,2.00,1000.00,909.09,true,false,false,29.50
6695000,7417000,722000,22000,24000,2.00,1000.00,909.09,true,false,false,29.50
7417000,8142000,725000,20000,25000,2.00,1000.00,909.09,true,false,false,29.50
8142000,8867000,725000,23000,25000,2.00,1000.00,882.35,true,false,false,29.50
8867000,9551000,684000,24000,24000,2.00,1000.00,909.09,false,true,false,29.50
9551000,10270000,719000,15000,23000,1.50,1000.00,884.62,true,false,false,23.00
10270000,10971000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
10971000,11672000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
11672000,12373000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
12373000,13074000,701000,16000,17000,1.50,1000.00,851.85,true,false,false,23.00
13074000,13775000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
13775000,14476000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
14476000,15177000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
15177000,15878000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
15878000,16579000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
16579000,17280000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
17280000,17981000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
17981000,18682000,701000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
18682000,19384000,702000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
19384000,20085000,701000,16000,17000,1.50,1000.00,851.85,true,false,false,23.00
20085000,20787000,702000,16000,17000,1.50,1000.00,884.62,true,false,false,23.00
20787000,21488000,701000,16000,17000,1.50,1000.00,884.62,true,false,true,23.00
21488000,22189000,701000,16000,17000,1.60,884.62,884.62,true,false,false,23.00
22189000,22890000,701000,16000,17000,1.60,884.62,884.62,true,false,false,23.00
22890000,23592000,702000,16000,17000,1.60,884.62,884.62,true,false,false,23.00
23592000,24293000,701000,16000,17000,1.60,884.62,884.62,true,false,false,23.00
24293000,24995000,702000,16000,17000,1.60,884.62,884.62,true,false,false,23.00
24995000,25699000,704000,13000,18000,1.30,1000.00,884.62,true,false,false,23.00
25699000,26400000,701000,15000,17000,1.30,1000.00,884.62,true,false,false,23.00
26400000,27101000,701000,13000,17000,1.30,1000.00,920.00,true,false,false,23.00
27101000,27805000,704000,15000,18000,1.30,1000.00,884.62,true,false,false,23.00
27805000,28506000,701000,13000,17000,1.30,1000.00,884.62,true,false,false,23.00
28506000,29210000,704000,13000,18000,1.30,1000.00,884.62,true,false,false,23.00
29210000,29911000,701000,16000,17000,1.30,1000.00,851.85,true,false,false,23.00
29911000,30545000,634000,17000,17000,1.30,1000.00,920.00,false,true,false,23.00
30545000,31267000,722000,10000,24000,1.00,1000.00,1000.00,true,false,false,20.00
31267000,31962000,695000,11000,15000,1.00,1000.00,833.33,true,false,false,20.00
31962000,32654000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
32654000,33346000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
33346000,34038000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
34038000,34730000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
34730000,35422000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
35422000,36114000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
36114000,36806000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
36806000,37498000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
37498000,38190000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
38190000,38882000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
38882000,39574000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
39574000,40266000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
40266000,40958000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
40958000,41650000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
41650000,42342000,692000,14000,14000,1.00,1000.00,833.33,true,false,true,20.00
42342000,43034000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
43034000,43726000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
43726000,44418000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
44418000,45110000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
45110000,45802000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
45802000,46500000,698000,10000,16000,1.00,1000.00,833.33,true,false,false,20.00
46500000,47195000,695000,13000,15000,1.00,1000.00,833.33,true,false,false,20.00
47195000,47893000,698000,10000,16000,1.00,1000.00,833.33,true,false,false,20.00
47893000,48588000,695000,12000,15000,1.00,1000.00,833.33,true,false,false,20.00
48588000,49280000,692000,10000,14000,1.00,1000.00,952.38,true,false,false,20.00
49280000,49981000,701000,11000,17000,1.00,1000.00,833.33,true,false,false,20.00
49981000,50674000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
50674000,51290000,616000,14000,14000,1.00,1000.00,869.57,false,true,false,20.00
51290000,51989000,699000,12000,16000,1.00,1000.00,833.33,true,false,false,20.00
51989000,52681000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
52681000,53373000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
53373000,54066000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
54066000,54758000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
54758000,55451000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
55451000,56183000,732000,14000,27000,1.00,1000.00,571.43,true,false,false,20.00
56183000,56908000,725000,10000,25000,1.00,1000.00,833.33,true,false,false,20.00
56908000,57603000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
57603000,58298000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
58298000,58993000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
58993000,59688000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
59688000,60383000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
