time,event,cwnd
11000,"""SlowStart""",3.00
24000,"""SlowStart""",4.00
25000,"""SlowStart""",5.00
27000,"""SlowStart""",6.00
34000,"""SlowStart""",7.00
36000,"""SlowStart""",8.00
38000,"""SlowStart""",9.00
39000,"""SlowStart""",10.00
41000,"""SlowStart""",11.00
43000,"""SlowStart""",12.00
47000,"""SlowStart""",13.00
48000,"""SlowStart""",14.00
49000,"""SlowStart""",15.00
50000,"""SlowStart""",16.00
51000,"""SlowStart""",17.00
52000,"""SlowStart""",18.00
53000,"""SlowStart""",19.00
54000,"""SlowStart""",20.00
57000,"""SlowStart""",21.00
58000,"""SlowStart""",22.00
59000,"""SlowStart""",23.00
61000,"""SlowStart""",24.00
65000,"""SlowStart""",25.00
66000,"""SlowStart""",26.00
67000,"""SlowStart""",27.00
68000,"""SlowStart""",28.00
69000,"""SlowStart""",29.00
70000,"""SlowStart""",30.00
71000,"""SlowStart""",31.00
72000,"""SlowStart""",32.00
73000,"""SlowStart""",33.00
74000,"""SlowStart""",34.00
75000,"""SlowStart""",35.00
76000,"""SlowStart""",36.00
77000,"""SlowStart""",37.00
79000,"""SlowStart""",38.00
81000,"""SlowStart""",39.00
82000,"""SlowStart""",40.00
83000,"""SlowStart""",41.00
84000,"""SlowStart""",42.00
85000,"""SlowStart""",43.00
87000,"""SlowStart""",44.00
89000,"""SlowStart""",45.00
90000,"""SlowStartEnd""",22.50
4379000,"""ProbeGain""",74.50
4903000,"""ProbeDrain""",22.50
5011000,"""ProbeUpdate""",20.00
25013000,"""ProbeGain""",64.00
25535000,"""ProbeDrain""",20.00
25629000,"""ProbeUpdate""",20.00
45770000,"""ProbeGain""",67.00
46293000,"""ProbeDrain""",20.00
46395000,"""ProbeUpdate""",19.00
66551000,"""ProbeGain""",62.00
67072000,"""ProbeDrain""",19.00
67170000,"""ProbeUpdate""",19.00
87342000,"""ProbeGain""",62.00
87864000,"""ProbeDrain""",19.00
87963000,"""ProbeUpdate""",19.00
108219000,"""ProbeGain""",59.00
108740000,"""ProbeDrain""",19.00
108833000,"""ProbeUpdate""",20.00
129010000,"""ProbeGain""",67.00
129533000,"""ProbeDrain""",20.00
129635000,"""ProbeUpdate""",19.00
149867000,"""ProbeGain""",62.00
150389000,"""ProbeDrain""",19.00
