now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
8018000,27.50,20000,93000,72,73000,1.80,1000.00,986.30,933.33,1.00,19.64,21.15
28836000,22.00,14000,62000,48,48000,1.20,1000.00,1000.00,916.67,1.00,20.00,20.00
49596000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
70452000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
91336000,20.00,14000,53000,39,39000,1.00,952.38,1000.00,833.33,1.05,20.50,20.50
112328000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
133280000,21.00,15000,55000,44,40000,1.10,1000.00,1100.00,750.00,1.10,21.00,21.00
154177000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,724.14,1.00,20.00,20.00
175171000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
196130000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,724.14,1.00,20.00,20.00
217112000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,750.00,1.00,20.00,20.00
238068000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,724.14,1.00,20.00,20.00
258957000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,875.00,1.00,20.00,20.00
279937000,21.00,15000,60000,44,45000,1.10,1000.00,977.78,700.00,1.00,20.00,20.00
300844000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
321734000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
342622000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,869.57,1.00,20.00,20.00
363481000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,833.33,1.00,20.00,20.00
384289000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
405161000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
426060000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
446955000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
467851000,20.00,14000,55000,40,41000,1.00,1000.00,975.61,869.57,1.00,20.00,20.00
488661000,20.00,14000,54000,40,40000,1.00,1000.00,1000.00,833.33,1.00,20.00,20.00
509542000,20.00,14000,53000,39,39000,1.00,952.38,1000.00,869.57,1.05,20.50,20.50
530494000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,807.69,1.00,20.00,20.00
551466000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,954.55,1.02,20.23,20.23
572422000,21.00,14000,56000,44,42000,1.10,1000.00,1047.62,913.04,1.05,20.48,20.48
593301000,21.00,11000,56000,44,45000,1.10,1000.00,977.78,807.69,1.00,20.00,20.00
614013000,20.00,13000,50000,40,37000,1.00,1000.00,1081.08,909.09,1.08,20.81,20.81
634969000,21.00,15000,56000,44,41000,1.10,1000.00,1073.17,777.78,1.07,20.73,20.73
655917000,21.00,15000,56000,44,41000,1.10,1000.00,1073.17,777.78,1.07,20.73,20.73
676903000,21.00,15000,57000,44,42000,1.10,1000.00,1047.62,913.04,1.05,20.48,20.48
697873000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,777.78,1.00,20.00,20.00
718760000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,777.78,1.02,20.23,20.23
739807000,21.00,16000,59000,44,43000,1.10,1000.00,1023.26,750.00,1.02,20.23,20.23
760832000,21.00,15000,59000,44,44000,1.10,1000.00,1000.00,777.78,1.00,20.00,20.00
781822000,21.00,15000,55000,44,40000,1.10,1000.00,1100.00,700.00,1.10,21.00,21.00
802766000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,777.78,1.02,20.23,20.23
823656000,21.00,15000,58000,44,43000,1.10,1000.00,1023.26,807.69,1.02,20.23,20.23
844635000,21.00,15000,56000,43,41000,1.10,954.55,1048.78,777.78,1.10,20.99,20.99
865620000,21.00,15000,54000,43,39000,1.10,954.55,1102.56,875.00,1.16,21.55,21.55
886699000,22.00,12000,63000,48,51000,1.20,1000.00,941.18,846.15,1.00,20.00,20.00
907588000,20.00,10000,53000,40,43000,1.00,1000.00,930.23,909.09,1.00,20.00,20.00
928421000,20.00,14000,53000,40,39000,1.00,1000.00,1025.64,625.00,1.03,20.26,20.26
949493000,21.00,17000,60000,43,43000,1.10,954.55,1000.00,750.00,1.05,20.48,20.48
970585000,21.00,16000,58000,44,42000,1.10,1000.00,1047.62,777.78,1.05,20.48,20.48
991611000,21.00,15000,55000,43,40000,1.10,954.55,1075.00,807.69,1.13,21.26,21.26
