time,event,cwnd
10000,"""SlowStart""",3.00
10200,"""SlowStart""",4.00
20000,"""SlowStart""",5.00
21700,"""SlowStart""",6.00
23000,"""SlowStart""",7.00
24200,"""SlowStart""",8.00
30000,"""SlowStart""",9.00
31000,"""SlowStart""",10.00
31900,"""SlowStart""",11.00
32700,"""SlowStart""",12.00
33400,"""SlowStart""",13.00
34100,"""SlowStart""",14.00
34800,"""SlowStart""",15.00
35400,"""SlowStart""",16.00
40000,"""SlowStart""",17.00
40600,"""SlowStart""",18.00
41100,"""SlowStart""",19.00
41600,"""SlowStart""",20.00
42100,"""SlowStart""",21.00
42500,"""SlowStart""",22.00
42900,"""SlowStart""",23.00
43300,"""SlowStart""",24.00
43700,"""SlowStart""",25.00
44100,"""SlowStart""",26.00
44500,"""SlowStart""",27.00
44800,"""SlowStart""",28.00
45200,"""SlowStart""",29.00
45500,"""SlowStart""",30.00
45800,"""SlowStart""",31.00
46100,"""SlowStart""",32.00
50000,"""SlowStart""",33.00
50300,"""SlowStart""",34.00
50600,"""SlowStart""",35.00
50900,"""SlowStart""",36.00
51200,"""SlowStart""",37.00
51500,"""SlowStart""",38.00
51700,"""SlowStart""",39.00
52000,"""SlowStart""",40.00
52200,"""SlowStart""",41.00
52400,"""SlowStart""",42.00
52700,"""SlowStart""",43.00
52900,"""SlowStart""",44.00
53100,"""SlowStart""",45.00
53300,"""SlowStart""",46.00
53500,"""SlowStart""",47.00
53700,"""SlowStart""",48.00
53900,"""SlowStart""",49.00
54100,"""SlowStart""",50.00
54300,"""SlowStart""",51.00
54500,"""SlowStart""",52.00
54700,"""SlowStart""",53.00
54900,"""SlowStart""",54.00
55100,"""SlowStart""",55.00
55300,"""SlowStart""",56.00
55500,"""SlowStart""",57.00
55700,"""SlowStart""",58.00
55900,"""SlowStart""",59.00
56100,"""SlowStart""",60.00
56300,"""SlowStart""",61.00
56500,"""SlowStart""",62.00
56700,"""SlowStart""",63.00
56900,"""SlowStart""",64.00
60000,"""SlowStart""",65.00
60200,"""SlowStart""",66.00
60400,"""SlowStart""",67.00
60600,"""SlowStart""",68.00
60800,"""SlowStart""",69.00
61000,"""SlowStart""",70.00
61200,"""SlowStart""",71.00
61400,"""SlowStart""",72.00
61600,"""SlowStart""",73.00
61800,"""SlowStart""",74.00
62000,"""SlowStart""",75.00
62200,"""SlowStart""",76.00
62400,"""SlowStart""",77.00
62600,"""SlowStart""",78.00
62800,"""SlowStart""",79.00
63000,"""SlowStart""",80.00
63200,"""SlowStart""",81.00
63400,"""SlowStart""",82.00
63600,"""SlowStart""",83.00
63800,"""SlowStart""",84.00
64000,"""SlowStart""",85.00
64200,"""SlowStart""",86.00
64400,"""SlowStart""",87.00
64600,"""SlowStart""",88.00
64800,"""SlowStart""",89.00
65000,"""SlowStart""",90.00
65200,"""SlowStart""",91.00
65400,"""SlowStart""",92.00
65600,"""SlowStart""",93.00
65800,"""SlowStart""",94.00
66000,"""SlowStart""",95.00
66200,"""SlowStart""",96.00
66400,"""SlowStart""",97.00
66600,"""SlowStart""",98.00
66800,"""SlowStart""",99.00
67000,"""SlowStart""",100.00
67100,"""SlowStart""",101.00
67300,"""SlowStart""",102.00
67500,"""SlowStart""",103.00
67700,"""SlowStart""",104.00
67900,"""SlowStart""",105.00
68100,"""SlowStart""",106.00
68300,"""SlowStart""",107.00
68500,"""SlowStart""",108.00
68700,"""SlowStart""",109.00
68900,"""SlowStart""",110.00
69100,"""SlowStart""",111.00
69300,"""SlowStart""",112.00
69500,"""SlowStart""",113.00
69700,"""SlowStart""",114.00
69900,"""SlowStart""",115.00
70100,"""SlowStart""",116.00
70300,"""SlowStart""",117.00
70500,"""SlowStart""",118.00
70800,"""SlowStart""",119.00
70900,"""SlowStart""",120.00
71200,"""SlowStart""",121.00
71300,"""SlowStart""",122.00
71600,"""SlowStart""",123.00
71700,"""SlowStart""",124.00
72000,"""SlowStart""",125.00
72100,"""SlowStart""",126.00
72400,"""SlowStart""",127.00
72500,"""SlowStart""",128.00
72800,"""SlowStart""",129.00
72900,"""SlowStart""",130.00
73200,"""SlowStart""",131.00
73300,"""SlowStart""",132.00
73600,"""SlowStart""",133.00
73700,"""SlowStart""",134.00
74000,"""SlowStart""",135.00
74100,"""SlowStart""",136.00
74400,"""SlowStart""",137.00
74500,"""SlowStart""",138.00
74800,"""SlowStart""",139.00
74900,"""SlowStart""",140.00
75200,"""SlowStart""",141.00
75300,"""SlowStart""",142.00
75600,"""SlowStart""",143.00
75700,"""SlowStart""",144.00
76000,"""SlowStart""",145.00
