time,event,cwnd
87700,"""SlowStart""",202.00
88000,"""SlowStart""",203.00
88100,"""SlowStart""",204.00
88400,"""SlowStart""",205.00
88500,"""SlowStart""",206.00
88800,"""SlowStart""",207.00
88900,"""SlowStart""",208.00
89200,"""SlowStart""",209.00
89300,"""SlowStart""",210.00
89600,"""SlowStart""",211.00
89700,"""SlowStart""",212.00
90000,"""SlowStart""",213.00
90100,"""SlowStart""",214.00
90400,"""SlowStart""",215.00
90500,"""SlowStart""",216.00
90800,"""SlowStart""",217.00
90900,"""SlowStart""",218.00
91200,"""SlowStart""",219.00
91300,"""SlowStart""",220.00
91600,"""SlowStart""",221.00
91700,"""SlowStart""",222.00
92000,"""SlowStart""",223.00
92100,"""SlowStart""",224.00
92400,"""SlowStart""",225.00
92500,"""SlowStart""",226.00
92800,"""SlowStart""",227.00
92900,"""SlowStart""",228.00
93200,"""SlowStart""",229.00
93300,"""SlowStart""",230.00
93600,"""SlowStart""",231.00
93700,"""SlowStart""",232.00
94000,"""SlowStart""",233.00
94100,"""SlowStart""",234.00
94200,"""SlowStart""",235.00
94300,"""SlowStart""",236.00
94800,"""SlowStart""",237.00
94900,"""SlowStart""",238.00
95000,"""SlowStart""",239.00
95100,"""SlowStart""",240.00
95600,"""SlowStart""",241.00
95700,"""SlowStart""",242.00
95800,"""SlowStart""",243.00
95900,"""SlowStart""",244.00
96400,"""SlowStart""",245.00
96500,"""SlowStart""",246.00
96600,"""SlowStart""",247.00
96700,"""SlowStart""",248.00
97200,"""SlowStart""",249.00
97300,"""SlowStart""",250.00
97400,"""SlowStart""",251.00
97500,"""SlowStart""",252.00
98000,"""SlowStart""",253.00
98100,"""SlowStart""",254.00
98200,"""SlowStart""",255.00
98300,"""SlowStart""",256.00
98800,"""SlowStart""",257.00
98900,"""SlowStart""",258.00
99000,"""SlowStart""",259.00
99100,"""SlowStart""",260.00
99600,"""SlowStart""",261.00
99700,"""SlowStart""",262.00
99800,"""SlowStart""",263.00
99900,"""SlowStart""",264.00
100400,"""SlowStart""",265.00
100500,"""SlowStart""",266.00
100600,"""SlowStart""",267.00
100700,"""SlowStart""",268.00
101200,"""SlowStart""",269.00
101300,"""SlowStart""",270.00
101400,"""SlowStart""",271.00
101500,"""SlowStart""",272.00
102000,"""SlowStart""",273.00
102100,"""SlowStart""",274.00
102200,"""SlowStart""",275.00
102300,"""SlowStart""",276.00
102800,"""SlowStart""",277.00
102900,"""SlowStart""",278.00
103000,"""SlowStart""",279.00
103100,"""SlowStart""",280.00
103600,"""SlowStart""",281.00
103700,"""SlowStart""",282.00
103800,"""SlowStart""",283.00
103900,"""SlowStart""",284.00
104400,"""SlowStart""",285.00
104500,"""SlowStart""",286.00
104600,"""SlowStart""",287.00
104700,"""SlowStart""",288.00
105200,"""SlowStart""",289.00
105300,"""SlowStart""",290.00
105400,"""SlowStart""",291.00
105500,"""SlowStart""",292.00
