now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,s_probe_start_seq,s_probe_inflightmatch_seq,s_probe_first_seq,s_probe_last_seq,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
155913100,151.00,20100,60500,785607,786162,786717,786817,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
159724500,151.00,20100,60500,804727,805282,805837,805937,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
163535900,151.00,20100,60500,823847,824402,824957,825057,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
167347300,151.00,20100,60500,842967,843522,844077,844177,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
171158700,151.00,20100,60500,862087,862642,863197,863297,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
174970100,151.00,20100,60500,881207,881762,882317,882417,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
178781500,151.00,20100,60500,900327,900882,901437,901537,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
182592900,151.00,20100,60500,919447,920002,920557,920657,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
186404300,151.00,20100,60500,938567,939122,939677,939777,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
190215700,151.00,20100,60500,957687,958242,958797,958897,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
194027100,151.00,20100,60500,976807,977362,977917,978017,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
197838500,151.00,20100,60500,995927,996482,997037,997137,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
201649900,151.00,20100,60500,1015047,1015602,1016157,1016257,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
205461300,151.00,20100,60500,1034167,1034722,1035277,1035377,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
209272700,151.00,20100,60500,1053287,1053842,1054397,1054497,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
213084100,151.00,20100,60500,1072407,1072962,1073517,1073617,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
216895500,151.00,20100,60500,1091527,1092082,1092637,1092737,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
220706900,151.00,20100,60500,1110647,1111202,1111757,1111857,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
224518300,151.00,20100,60500,1129767,1130322,1130877,1130977,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
228329700,151.00,20100,60500,1148887,1149442,1149997,1150097,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
232141100,151.00,20100,60500,1168007,1168562,1169117,1169217,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
235952500,151.00,20100,60500,1187127,1187682,1188237,1188337,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
239763900,151.00,20100,60500,1206247,1206802,1207357,1207457,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
243575300,151.00,20100,60500,1225367,1225922,1226477,1226577,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
247386700,151.00,20100,60500,1244487,1245042,1245597,1245697,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
251198100,151.00,20100,60500,1263607,1264162,1264717,1264817,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
255009500,151.00,20100,60500,1282727,1283282,1283837,1283937,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
258820900,151.00,20100,60500,1301847,1302402,1302957,1303057,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
262632300,151.00,20100,60500,1320967,1321522,1322077,1322177,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
266443700,151.00,20100,60500,1340087,1340642,1341197,1341297,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
270255100,151.00,20100,60500,1359207,1359762,1360317,1360417,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
274066500,151.00,20100,60500,1378327,1378882,1379437,1379537,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
277877900,151.00,20100,60500,1397447,1398002,1398557,1398657,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
281689300,151.00,20100,60500,1416567,1417122,1417677,1417777,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
285500700,151.00,20100,60500,1435687,1436242,1436797,1436897,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
289312100,151.00,20100,60500,1454807,1455362,1455917,1456017,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
293123500,151.00,20100,60500,1473927,1474482,1475037,1475137,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
296934900,151.00,20100,60500,1493047,1493602,1494157,1494257,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
