now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,s_probe_start_seq,s_probe_inflightmatch_seq,s_probe_first_seq,s_probe_last_seq,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
888500,150.00,20100,100600,3037,3588,4139,4229,401,80500,2.01,4983.39,4981.37,4981.92,1.00,99.67,115.38
4496400,116.00,13200,47000,21421,21801,22181,22275,264,33800,1.32,5000.00,7810.65,6597.22,1.56,128.11,128.11
7896700,129.00,12900,42000,40723,41143,41563,41663,291,29100,1.29,5633.19,10000.00,8076.92,1.78,156.33,156.33
11504800,157.00,18700,59700,60375,60942,61509,61602,410,41000,1.87,5470.38,10000.00,8134.86,1.83,154.70,154.70
15181000,155.00,20100,61600,79413,79983,80553,80653,415,41500,2.01,5149.50,10000.00,7960.89,1.94,151.50,151.50
18863400,152.00,20100,60800,98075,98634,99193,99293,407,40700,2.01,5049.83,10000.00,7895.48,1.98,150.50,150.50
22548300,151.00,20100,60500,116599,117154,117709,117809,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
26350600,151.00,20100,60500,135628,136183,136738,136838,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
30136900,151.00,20100,60500,154647,155202,155757,155857,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
33948300,151.00,20100,60500,173767,174322,174877,174977,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
37759700,151.00,20100,60500,192887,193442,193997,194097,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
41571100,151.00,20100,60500,212007,212562,213117,213217,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
45382500,151.00,20100,60500,231127,231682,232237,232337,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
49193900,151.00,20100,60500,250247,250802,251357,251457,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
53005300,151.00,20100,60500,269367,269922,270477,270577,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
56816700,151.00,20100,60500,288487,289042,289597,289697,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
60628100,151.00,20100,60500,307607,308162,308717,308817,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
64439500,151.00,20100,60500,326727,327282,327837,327937,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
68250900,151.00,20100,60500,345847,346402,346957,347057,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
72062300,151.00,20100,60500,364967,365522,366077,366177,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
75873700,151.00,20100,60500,384087,384642,385197,385297,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
79685100,151.00,20100,60500,403207,403762,404317,404417,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
83496500,151.00,20100,60500,422327,422882,423437,423537,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
87307900,151.00,20100,60500,441447,442002,442557,442657,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
91119300,151.00,20100,60500,460567,461122,461677,461777,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
94930700,151.00,20100,60500,479687,480242,480797,480897,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
98742100,151.00,20100,60500,498807,499362,499917,500017,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
102553500,151.00,20100,60500,517927,518482,519037,519137,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
106364900,151.00,20100,60500,537047,537602,538157,538257,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
110176300,151.00,20100,60500,556167,556722,557277,557377,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
113987700,151.00,20100,60500,575287,575842,576397,576497,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
117799100,151.00,20100,60500,594407,594962,595517,595617,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
121610500,151.00,20100,60500,613527,614082,614637,614737,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
125421900,151.00,20100,60500,632647,633202,633757,633857,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
129233300,151.00,20100,60500,651767,652322,652877,652977,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
133044700,151.00,20100,60500,670887,671442,671997,672097,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
136856100,151.00,20100,60500,690007,690562,691117,691217,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
140667500,151.00,20100,60500,709127,709682,710237,710337,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
144478900,151.00,20100,60500,728247,728802,729357,729457,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
148290300,151.00,20100,60500,747367,747922,748477,748577,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
152101700,151.00,20100,60500,766487,767042,767597,767697,404,40400,2.01,5016.61,10000.00,7872.34,1.99,150.17,150.17
