time,event,cwnd
65870000,"""ProbeUpdate""",110.00
85722000,"""ProbeGain""",150.00
86483000,"""ProbeDrain""",110.00
86634000,"""ProbeUpdate""",110.00
106528000,"""ProbeGain""",150.00
107291000,"""ProbeDrain""",110.00
107442000,"""ProbeUpdate""",110.00
127336000,"""ProbeGain""",150.00
128097000,"""ProbeDrain""",110.00
128248000,"""ProbeUpdate""",110.00
148155000,"""ProbeGain""",150.00
148921000,"""ProbeDrain""",110.00
149074000,"""ProbeUpdate""",110.00
169059000,"""ProbeGain""",150.00
169822000,"""ProbeDrain""",110.00
169972000,"""ProbeUpdate""",110.00
190001000,"""ProbeGain""",150.00
190763000,"""ProbeDrain""",110.00
190918000,"""ProbeUpdate""",110.00
210977000,"""ProbeGain""",150.00
211744000,"""ProbeDrain""",110.00
211898000,"""ProbeUpdate""",110.00
231984000,"""ProbeGain""",150.00
232751000,"""ProbeDrain""",110.00
232901000,"""ProbeUpdate""",110.00
253089000,"""ProbeGain""",154.00
253857000,"""ProbeDrain""",110.00
254017000,"""ProbeUpdate""",110.00
274216000,"""ProbeGain""",154.00
274988000,"""ProbeDrain""",110.00
275150000,"""ProbeUpdate""",110.00
295446000,"""ProbeGain""",150.00
296217000,"""ProbeDrain""",110.00
296375000,"""ProbeUpdate""",111.00
316863000,"""ProbeGain""",158.00
317650000,"""ProbeDrain""",111.00
317819000,"""ProbeUpdate""",110.00
338425000,"""ProbeGain""",165.00
339210000,"""ProbeDrain""",110.00
339392000,"""ProbeUpdate""",107.00
359736000,"""ProbeGain""",153.00
360511000,"""ProbeDrain""",107.00
360679000,"""ProbeUpdate""",106.00
381144000,"""ProbeGain""",152.00
381916000,"""ProbeDrain""",106.00
382084000,"""ProbeUpdate""",105.00
402739000,"""ProbeGain""",147.00
403510000,"""ProbeDrain""",105.00
403675000,"""ProbeUpdate""",105.00
424672000,"""ProbeGain""",153.00
425468000,"""ProbeDrain""",105.00
425644000,"""ProbeUpdate""",103.00
446899000,"""ProbeGain""",162.00
447703000,"""ProbeDrain""",103.00
447914000,"""ProbeUpdate""",97.00
469181000,"""ProbeGain""",151.00
469974000,"""ProbeDrain""",97.00
470186000,"""ProbeUpdate""",92.00
491541000,"""ProbeGain""",150.00
492337000,"""ProbeDrain""",92.00
492563000,"""ProbeUpdate""",86.00
513593000,"""ProbeGain""",117.00
514368000,"""ProbeDrain""",86.00
514543000,"""ProbeUpdate""",87.00
535772000,"""ProbeGain""",150.00
536552000,"""ProbeDrain""",87.00
536805000,"""ProbeUpdate""",80.00
557618000,"""ProbeGain""",122.00
558394000,"""ProbeDrain""",80.00
558592000,"""ProbeUpdate""",77.00
580547000,"""ProbeGain""",145.00
581374000,"""ProbeDrain""",77.00
581659000,"""ProbeUpdate""",68.00
602712000,"""ProbeGain""",112.00
603497000,"""ProbeDrain""",68.00
603728000,"""ProbeUpdate""",65.00
624784000,"""ProbeGain""",109.00
625570000,"""ProbeDrain""",65.00
625806000,"""ProbeUpdate""",61.00
646884000,"""ProbeGain""",105.00
647672000,"""ProbeDrain""",61.00
647924000,"""ProbeUpdate""",57.00
669103000,"""ProbeGain""",100.00
669897000,"""ProbeDrain""",57.00
670162000,"""ProbeUpdate""",53.00
691496000,"""ProbeGain""",97.00
692295000,"""ProbeDrain""",53.00
692584000,"""ProbeUpdate""",49.00
714078000,"""ProbeGain""",82.00
714882000,"""ProbeDrain""",49.00
715152000,"""ProbeUpdate""",46.00
736946000,"""ProbeGain""",96.00
737748000,"""ProbeDrain""",46.00
738092000,"""ProbeUpdate""",45.00
760487000,"""ProbeGain""",92.00
761308000,"""ProbeDrain""",45.00
761714000,"""ProbeUpdate""",37.00
783842000,"""ProbeGain""",71.00
784638000,"""ProbeDrain""",37.00
784946000,"""ProbeUpdate""",35.00
806636000,"""ProbeGain""",64.00
807421000,"""ProbeDrain""",35.00
807704000,"""ProbeUpdate""",34.00
829706000,"""ProbeGain""",66.00
830501000,"""ProbeDrain""",34.00
830814000,"""ProbeUpdate""",32.00
853038000,"""ProbeGain""",60.00
853826000,"""ProbeDrain""",32.00
854123000,"""ProbeUpdate""",31.00
876323000,"""ProbeGain""",58.00
877113000,"""ProbeDrain""",31.00
877406000,"""ProbeUpdate""",30.00
899572000,"""ProbeGain""",57.00
900362000,"""ProbeDrain""",30.00
900654000,"""ProbeUpdate""",29.00
922781000,"""ProbeGain""",54.00
923564000,"""ProbeDrain""",29.00
923850000,"""ProbeUpdate""",29.00
946175000,"""ProbeGain""",55.00
946962000,"""ProbeDrain""",29.00
947255000,"""ProbeUpdate""",29.00
969724000,"""ProbeGain""",42.00
970496000,"""ProbeDrain""",29.00
970701000,"""ProbeUpdate""",29.00
992755000,"""ProbeGain""",70.00
993644000,"""ProbeDrain""",29.00
993974000,"""ProbeUpdate""",27.00
1014818000,"""ProbeGain""",44.00
1015572000,"""ProbeDrain""",27.00
1015846000,"""ProbeUpdate""",29.00
1037732000,"""ProbeGain""",55.00
1038517000,"""ProbeDrain""",29.00
1038808000,"""ProbeUpdate""",29.00
1060848000,"""ProbeGain""",56.00
1061636000,"""ProbeDrain""",29.00
1061940000,"""ProbeUpdate""",29.00
1084451000,"""ProbeGain""",57.00
1085244000,"""ProbeDrain""",29.00
1085560000,"""ProbeUpdate""",28.00
1108097000,"""ProbeGain""",54.00
1108885000,"""ProbeDrain""",28.00
1109183000,"""ProbeUpdate""",28.00
1131745000,"""ProbeGain""",53.00
1132534000,"""ProbeDrain""",28.00
1132824000,"""ProbeUpdate""",28.00
1155380000,"""ProbeGain""",53.00
1156170000,"""ProbeDrain""",28.00
1156459000,"""ProbeUpdate""",28.00
1178945000,"""ProbeGain""",54.00
1179735000,"""ProbeDrain""",28.00
1180036000,"""ProbeUpdate""",28.00
1202591000,"""ProbeGain""",53.00
1203376000,"""ProbeDrain""",28.00
1203672000,"""ProbeUpdate""",28.00
1226095000,"""ProbeGain""",42.00
1226877000,"""ProbeDrain""",28.00
