time,event,cwnd
1000000,"""SlowStart""",3.00
1002000,"""SlowStart""",4.00
2032000,"""SlowStartEnd""",2.00
6538000,"""ProbeGain""",3.00
9604000,"""ProbeDrain""",2.00
10793000,"""ProbeUpdate""",3.00
40327000,"""ProbeGain""",4.00
43357000,"""ProbeDrain""",3.00
44532000,"""ProbeUpdate""",4.00
73862000,"""ProbeGain""",5.00
76892000,"""ProbeDrain""",4.00
78005000,"""ProbeUpdate""",6.00
107375000,"""ProbeGain""",7.00
110405000,"""ProbeDrain""",6.00
111490000,"""ProbeUpdate""",8.00
140820000,"""ProbeGain""",9.00
143850000,"""ProbeDrain""",8.00
144919000,"""ProbeUpdate""",11.00
174289000,"""ProbeGain""",12.00
176829000,"""ProbeDrain""",11.00
178329000,"""ProbeUpdate""",15.00
207659000,"""ProbeGain""",16.00
210213000,"""ProbeDrain""",15.00
211300000,"""ProbeUpdate""",20.00
233656000,"""ProbeGain""",21.00
236221000,"""ProbeDrain""",20.00
237262000,"""ProbeUpdate""",26.00
258458000,"""ProbeGain""",28.00
260988000,"""ProbeDrain""",26.00
262053000,"""ProbeUpdate""",29.00
283168000,"""ProbeGain""",31.00
285722000,"""ProbeDrain""",29.00
286844000,"""ProbeUpdate""",38.00
308106000,"""ProbeGain""",40.00
310633000,"""ProbeDrain""",38.00
311684000,"""ProbeUpdate""",50.00
332970000,"""ProbeGain""",53.00
335501000,"""ProbeDrain""",50.00
336607000,"""ProbeUpdate""",55.00
357548000,"""ProbeGain""",58.00
360092000,"""ProbeDrain""",55.00
361172000,"""ProbeUpdate""",72.00
381928000,"""ProbeGain""",75.00
384476000,"""ProbeDrain""",72.00
385540000,"""ProbeUpdate""",94.00
406550000,"""ProbeGain""",99.00
409098000,"""ProbeDrain""",94.00
410160000,"""ProbeUpdate""",123.00
431585000,"""ProbeGain""",130.00
434115000,"""ProbeDrain""",123.00
435181000,"""ProbeUpdate""",160.00
456857000,"""ProbeGain""",167.00
459387000,"""ProbeDrain""",160.00
460441000,"""ProbeUpdate""",208.00
482044000,"""ProbeGain""",218.00
484573000,"""ProbeDrain""",208.00
485624000,"""ProbeUpdate""",271.00
507328000,"""ProbeGain""",287.00
509866000,"""ProbeDrain""",271.00
510928000,"""ProbeUpdate""",294.00
532243000,"""ProbeGain""",319.00
534787000,"""ProbeDrain""",294.00
535870000,"""ProbeUpdate""",317.00
556948000,"""ProbeGain""",336.00
559531000,"""ProbeDrain""",317.00
560588000,"""ProbeUpdate""",413.00
583232000,"""ProbeGain""",430.00
585755000,"""ProbeDrain""",413.00
586794000,"""ProbeUpdate""",441.00
608084000,"""ProbeGain""",459.00
610622000,"""ProbeDrain""",441.00
611661000,"""ProbeUpdate""",468.00
632916000,"""ProbeGain""",487.00
635440000,"""ProbeDrain""",468.00
636479000,"""ProbeUpdate""",511.00
657888000,"""ProbeGain""",538.00
660420000,"""ProbeDrain""",511.00
661472000,"""ProbeUpdate""",555.00
682939000,"""ProbeGain""",590.00
685472000,"""ProbeDrain""",555.00
686534000,"""ProbeUpdate""",601.00
708130000,"""ProbeGain""",646.00
710670000,"""ProbeDrain""",601.00
711742000,"""ProbeUpdate""",649.00
733574000,"""ProbeGain""",713.00
736130000,"""ProbeDrain""",649.00
737269000,"""ProbeUpdate""",692.00
759768000,"""ProbeGain""",786.00
762429000,"""ProbeDrain""",692.00
763561000,"""ProbeUpdate""",736.00
785711000,"""ProbeGain""",765.00
788257000,"""ProbeDrain""",736.00
789303000,"""ProbeUpdate""",743.00
810983000,"""ProbeGain""",787.00
813536000,"""ProbeDrain""",743.00
814592000,"""ProbeUpdate""",760.00
836602000,"""ProbeGain""",826.00
839162000,"""ProbeDrain""",760.00
840245000,"""ProbeUpdate""",773.00
862193000,"""ProbeGain""",849.00
864762000,"""ProbeDrain""",773.00
865857000,"""ProbeUpdate""",781.00
887810000,"""ProbeGain""",858.00
890380000,"""ProbeDrain""",781.00
891475000,"""ProbeUpdate""",788.00
913292000,"""ProbeGain""",865.00
915862000,"""ProbeDrain""",788.00
916957000,"""ProbeUpdate""",794.00
938806000,"""ProbeGain""",878.00
941385000,"""ProbeDrain""",794.00
942486000,"""ProbeUpdate""",798.00
964576000,"""ProbeGain""",888.00
967160000,"""ProbeDrain""",798.00
968268000,"""ProbeUpdate""",799.00
990042000,"""ProbeGain""",890.00
992628000,"""ProbeDrain""",799.00
993844000,"""ProbeUpdate""",785.00
1014649000,"""ProbeGain""",838.00
1017248000,"""ProbeDrain""",785.00
1018315000,"""ProbeUpdate""",796.00
1040139000,"""ProbeGain""",828.00
1042704000,"""ProbeDrain""",796.00
1043754000,"""ProbeUpdate""",800.00
1065816000,"""ProbeGain""",869.00
1068395000,"""ProbeDrain""",800.00
1069479000,"""ProbeUpdate""",806.00
1091708000,"""ProbeGain""",894.00
1094292000,"""ProbeDrain""",806.00
1095398000,"""ProbeUpdate""",807.00
1117523000,"""ProbeGain""",898.00
1120109000,"""ProbeDrain""",807.00
1121219000,"""ProbeUpdate""",807.00
1143349000,"""ProbeGain""",898.00
1145935000,"""ProbeDrain""",807.00
1147044000,"""ProbeUpdate""",807.00
1169158000,"""ProbeGain""",898.00
1171744000,"""ProbeDrain""",807.00
1172853000,"""ProbeUpdate""",807.00
1194990000,"""ProbeGain""",898.00
1197577000,"""ProbeDrain""",807.00
1198686000,"""ProbeUpdate""",807.00
1220788000,"""ProbeGain""",898.00
1223376000,"""ProbeDrain""",807.00
1224484000,"""ProbeUpdate""",807.00
1246332000,"""ProbeGain""",898.00
1248919000,"""ProbeDrain""",807.00
1250136000,"""ProbeUpdate""",796.00
1271051000,"""ProbeGain""",853.00
1273654000,"""ProbeDrain""",796.00
1274723000,"""ProbeUpdate""",804.00
1296554000,"""ProbeGain""",839.00
1299117000,"""ProbeDrain""",804.00
1300168000,"""ProbeUpdate""",808.00
1322217000,"""ProbeGain""",881.00
1324799000,"""ProbeDrain""",808.00
1325886000,"""ProbeUpdate""",812.00
1348087000,"""ProbeGain""",898.00
1350670000,"""ProbeDrain""",812.00
1351773000,"""ProbeUpdate""",813.00
1373859000,"""ProbeGain""",902.00
1376444000,"""ProbeDrain""",813.00
1377551000,"""ProbeUpdate""",813.00
1399615000,"""ProbeGain""",902.00
1402199000,"""ProbeDrain""",813.00
1403305000,"""ProbeUpdate""",813.00
1425360000,"""ProbeGain""",902.00
1427945000,"""ProbeDrain""",813.00
1429051000,"""ProbeUpdate""",813.00
1451109000,"""ProbeGain""",902.00
1453694000,"""ProbeDrain""",813.00
1454800000,"""ProbeUpdate""",813.00
1476850000,"""ProbeGain""",902.00
1479435000,"""ProbeDrain""",813.00
1480540000,"""ProbeUpdate""",813.00
1502315000,"""ProbeGain""",902.00
1504901000,"""ProbeDrain""",813.00
1506113000,"""ProbeUpdate""",799.00
1527094000,"""ProbeGain""",862.00
1529705000,"""ProbeDrain""",799.00
1530784000,"""ProbeUpdate""",806.00
1552726000,"""ProbeGain""",838.00
1555290000,"""ProbeDrain""",806.00
1556341000,"""ProbeUpdate""",809.00
1578403000,"""ProbeGain""",885.00
1580986000,"""ProbeDrain""",809.00
1582077000,"""ProbeUpdate""",812.00
1604292000,"""ProbeGain""",898.00
1606875000,"""ProbeDrain""",812.00
1607978000,"""ProbeUpdate""",813.00
1630050000,"""ProbeGain""",902.00
1632635000,"""ProbeDrain""",813.00
1633741000,"""ProbeUpdate""",813.00
1655829000,"""ProbeGain""",902.00
1658413000,"""ProbeDrain""",813.00
1659520000,"""ProbeUpdate""",813.00
1681603000,"""ProbeGain""",902.00
1684188000,"""ProbeDrain""",813.00
1685295000,"""ProbeUpdate""",813.00
1707366000,"""ProbeGain""",902.00
1709951000,"""ProbeDrain""",813.00
1711057000,"""ProbeUpdate""",813.00
1733094000,"""ProbeGain""",902.00
1735680000,"""ProbeDrain""",813.00
1736786000,"""ProbeUpdate""",813.00
1758563000,"""ProbeGain""",902.00
1761149000,"""ProbeDrain""",813.00
1762361000,"""ProbeUpdate""",799.00
1783342000,"""ProbeGain""",862.00
1785951000,"""ProbeDrain""",799.00
1787030000,"""ProbeUpdate""",806.00
1808985000,"""ProbeGain""",838.00
1811550000,"""ProbeDrain""",806.00
1812601000,"""ProbeUpdate""",809.00
1834663000,"""ProbeGain""",882.00
1837245000,"""ProbeDrain""",809.00
1838332000,"""ProbeUpdate""",814.00
1860588000,"""ProbeGain""",903.00
1863174000,"""ProbeDrain""",814.00
1864280000,"""ProbeUpdate""",815.00
1886407000,"""ProbeGain""",907.00
1888996000,"""ProbeDrain""",815.00
1890105000,"""ProbeUpdate""",814.00
1912201000,"""ProbeGain""",906.00
1914791000,"""ProbeDrain""",814.00
1915899000,"""ProbeUpdate""",813.00
1937997000,"""ProbeGain""",902.00
1940581000,"""ProbeDrain""",813.00
1941687000,"""ProbeUpdate""",813.00
1963763000,"""ProbeGain""",902.00
1966348000,"""ProbeDrain""",813.00
1967454000,"""ProbeUpdate""",813.00
1989506000,"""ProbeGain""",902.00
1992092000,"""ProbeDrain""",813.00
1993198000,"""ProbeUpdate""",813.00
2014974000,"""ProbeGain""",902.00
2017561000,"""ProbeDrain""",813.00
2018771000,"""ProbeUpdate""",799.00
2039743000,"""ProbeGain""",862.00
2042353000,"""ProbeDrain""",799.00
2043432000,"""ProbeUpdate""",806.00
2065388000,"""ProbeGain""",838.00
2067952000,"""ProbeDrain""",806.00
2069003000,"""ProbeUpdate""",809.00
2091067000,"""ProbeGain""",885.00
2093651000,"""ProbeDrain""",809.00
2094742000,"""ProbeUpdate""",812.00
2116961000,"""ProbeGain""",898.00
2119545000,"""ProbeDrain""",812.00
2120648000,"""ProbeUpdate""",813.00
2142729000,"""ProbeGain""",902.00
2145315000,"""ProbeDrain""",813.00
2146421000,"""ProbeUpdate""",813.00
2168488000,"""ProbeGain""",902.00
2171072000,"""ProbeDrain""",813.00
2172178000,"""ProbeUpdate""",813.00
2194256000,"""ProbeGain""",902.00
2196841000,"""ProbeDrain""",813.00
2197948000,"""ProbeUpdate""",813.00
2220012000,"""ProbeGain""",902.00
2222597000,"""ProbeDrain""",813.00
2223703000,"""ProbeUpdate""",813.00
2245744000,"""ProbeGain""",902.00
2248330000,"""ProbeDrain""",813.00
2249436000,"""ProbeUpdate""",813.00
2271216000,"""ProbeGain""",902.00
2273802000,"""ProbeDrain""",813.00
2275012000,"""ProbeUpdate""",800.00
2295986000,"""ProbeGain""",863.00
2298598000,"""ProbeDrain""",800.00
2299675000,"""ProbeUpdate""",807.00
2321647000,"""ProbeGain""",843.00
2324212000,"""ProbeDrain""",807.00
2325264000,"""ProbeUpdate""",810.00
2347373000,"""ProbeGain""",874.00
2349946000,"""ProbeDrain""",810.00
2351024000,"""ProbeUpdate""",817.00
2373129000,"""ProbeGain""",910.00
2375721000,"""ProbeDrain""",817.00
