now,probe_cwnd_before,probe_min_qdel_before,probe_min_qdel_during,probe_excess_amount,probe_excess_qdel,communicated_flow_count,round_max_cruise_rate,bandwidth_estimate,latest_cruise_rate,flow_count_estimate,target_cwnd,probe_cwnd_after
10793000,2.00,22000,22000,1,0,2.20,1.96,null,2.94,null,null,2.60
44532000,3.00,10000,10000,1,0,1.00,2.97,null,3.96,null,null,3.90
78005000,4.00,10000,10000,1,0,1.00,3.96,null,4.95,null,null,5.20
111490000,6.00,10000,10000,1,0,1.00,5.94,null,6.92,null,null,7.80
144919000,8.00,10000,10000,1,0,1.00,7.91,null,8.90,null,null,10.40
178329000,11.00,10000,10000,1,0,1.00,10.88,null,11.86,null,null,14.30
211300000,15.00,10000,10000,1,0,1.00,14.84,null,15.81,null,null,19.50
237262000,20.00,10000,10000,1,0,1.00,19.78,null,20.77,null,null,26.00
262053000,26.00,10000,11000,2,1000,1.00,25.72,2000.00,27.70,10.00,28.32,28.32
286844000,29.00,11000,11000,2,0,1.10,28.63,null,30.63,null,null,37.70
311684000,38.00,11000,11000,2,0,1.10,37.59,null,39.56,null,null,49.40
336607000,50.00,13000,15000,3,2000,1.30,49.31,1500.00,52.27,10.00,54.29,54.29
361172000,55.00,11000,8000,3,0,1.10,54.29,null,54.67,null,null,71.50
385540000,72.00,14000,8000,3,0,1.00,70.94,null,73.96,null,null,93.60
410160000,94.00,11000,11000,5,0,1.10,92.43,null,97.35,null,null,122.20
435181000,123.00,13000,13000,7,0,1.30,121.42,null,128.08,null,null,159.90
460441000,160.00,12000,12000,7,0,1.10,158.10,null,165.02,null,null,208.00
485624000,208.00,13000,13000,10,0,1.20,205.33,null,214.99,null,null,270.40
510928000,271.00,15000,17000,16,2000,1.50,266.21,8000.00,281.93,10.00,293.69,293.69
535870000,294.00,21000,22000,25,1000,2.10,287.95,25000.00,312.13,10.00,316.75,316.75
560588000,317.00,15000,8000,19,0,1.50,312.01,null,333.66,null,null,412.10
586794000,413.00,7000,13000,17,6000,0.20,408.51,2833.33,422.81,6.94,440.76,440.76
611661000,441.00,10000,16000,18,6000,0.90,432.35,3000.00,452.66,6.94,467.39,467.39
636479000,468.00,10000,13000,19,3000,0.90,463.37,6333.33,480.75,10.00,510.21,510.21
661472000,511.00,13000,15000,27,2000,1.30,503.45,13500.00,530.05,10.00,554.89,554.89
